,Unnamed: 0_x,applicant_id,first_name_x,last_names_x,Psychometrics,Presentation,Date,Location,Unnamed: 0_y,first_name_y,last_names_y,date,self_development,geo_flex,financial_support_self,result,course_interest
0,0,19080001,HILARY,WILLMORE,51,19,2019/08/01,0,1,Hilary,Willmore,2019/08/01,No,Yes,Yes,Fail,Data
1,1,19080010,ORLY,LORENS,51,19,2019/08/01,0,7,Orly,Lorens,2019/08/01,No,Yes,Yes,Fail,Business
2,2,19080044,ALVIE,BLEACKLY,55,16,2019/08/01,0,28,Alvie,Bleackly,2019/08/01,Yes,Yes,Yes,Pass,Engineering
3,3,19080046,DECK,ITZCHAKI,59,21,2019/08/01,0,30,Deck,Itzchaki,2019/08/01,Yes,Yes,Yes,Pass,Business
4,4,19080049,WILT,PENRITT,66,25,2019/08/01,0,32,Wilt,Penritt,2019/08/01,No,Yes,Yes,Fail,Data
5,5,19080076,GIANNA,CLEVELY,61,16,2019/08/01,0,51,Gianna,Clevely,2019/08/01,Yes,Yes,Yes,Pass,Business
6,6,19080111,YVOR,PHALIP,59,18,2019/08/01,0,78,Yvor,Phalip,2019/08/01,Yes,Yes,No,Fail,Data
7,7,19080114,MARIELLE,KNIVETT,52,18,2019/08/01,0,80,Marielle,Knivett,2019/08/01,Yes,No,Yes,Fail,Business
8,8,19080123,FLORRI,LOUGHTON,63,28,2019/08/01,0,86,Florri,Loughton,2019/08/01,No,Yes,Yes,Fail,Engineering
9,10,19080134,INGUNNA,ADIN,60,20,2019/08/01,0,95,Ingunna,Adin,2019/08/01,Yes,Yes,Yes,Pass,Data
10,11,19080167,JANAYA,MAWFORD,52,18,2019/08/01,0,116,Janaya,Mawford,2019/08/01,Yes,Yes,Yes,Pass,Data
11,12,19080180,CORNALL,OFFER,56,26,2019/08/01,0,125,Cornall,Offer,2019/08/01,Yes,No,Yes,Fail,Data
12,13,19080184,BRNABY,BOWNES,59,26,2019/08/01,0,128,Brnaby,Bownes,2019/08/01,Yes,Yes,Yes,Pass,Engineering
13,14,19080223,SHERLINE,CUDIHY,52,16,2019/08/01,0,159,Sherline,Cudihy,2019/08/01,Yes,Yes,Yes,Pass,Data
14,17,19080244,NORENE,FIERRO,58,22,2019/08/01,0,173,Norene,Fierro,2019/08/01,Yes,No,Yes,Fail,Business
15,20,19080327,LORINE,BIGNALL,59,17,2019/08/01,0,228,Lorine,Bignall,2019/08/01,Yes,Yes,Yes,Fail,Business
16,21,19080338,DEIRDRE,VANDENVELDE,55,19,2019/08/01,0,233,Deirdre,VanDenVelde,2019/08/01,Yes,Yes,Yes,Pass,Engineering
17,22,19080340,RUTHE,ADOLTHINE,63,17,2019/08/01,0,235,Ruthe,Adolthine,2019/08/01,Yes,Yes,No,Fail,Data
18,23,19080370,STAR,JURGES,54,22,2019/08/01,0,255,Star,Jurges,2019/08/01,Yes,Yes,Yes,Pass,Data
19,24,19080373,STAN,FORKAN,56,20,2019/08/01,0,257,Stan,Forkan,2019/08/01,Yes,Yes,Yes,Fail,Data
20,25,19080384,JODIE,KAYGILL,53,17,2019/08/01,0,265,Jodie,Kaygill,2019/08/01,Yes,Yes,Yes,Pass,Data
21,27,19080391,DELINDA,CONYBEAR,54,18,2019/08/01,0,267,Delinda,Conybear,2019/08/01,Yes,Yes,Yes,Pass,Data
22,29,19080407,MATTEO,YEOWELL,57,18,2019/08/01,0,278,Matteo,Yeowell,2019/08/01,Yes,Yes,Yes,Pass,Business
23,31,19080425,CARLOS,GERCKENS,56,19,2019/08/01,0,288,Carlos,Gerckens,2019/08/01,Yes,Yes,Yes,Pass,Data
24,33,19080428,BLAKE,NUNSON,64,18,2019/08/01,0,289,Blake,Nunson,2019/08/01,Yes,Yes,Yes,Pass,Engineering
25,35,19080439,SID,LIBBIE,59,28,2019/08/01,0,295,Sid,Libbie,2019/08/01,Yes,Yes,No,Fail,Engineering
26,36,19050008,LOREE,HINKENS,54,16,2019/05/01,1,1850,Loree,Hinkens,2019/05/01,No,Yes,Yes,Fail,Data
27,37,19050056,MICHEIL,ROTLAUF,66,15,2019/05/01,1,1882,Micheil,Rotlauf,2019/05/01,Yes,Yes,Yes,Pass,Data
28,40,19050082,RETHA,DUNNICO,60,20,2019/05/01,1,1899,Retha,Dunnico,2019/05/01,Yes,Yes,No,Fail,Data
29,41,19050103,NANCE,TOTHE,51,15,2019/05/01,1,1907,Nance,Tothe,2019/05/01,Yes,Yes,Yes,Pass,Data
30,42,19050113,DONICA,ANDREAS,59,18,2019/05/01,1,1914,Donica,Andreas,2019/05/01,Yes,Yes,Yes,Pass,Data
31,45,19050136,CASSIUS,HOLLIBONE,69,18,2019/05/01,1,1926,Cassius,Hollibone,2019/05/01,Yes,No,Yes,Fail,Engineering
32,46,19050144,MELLICENT,DESAUR,67,18,2019/05/01,1,1931,Mellicent,Desaur,2019/05/01,Yes,Yes,Yes,Pass,Engineering
33,47,19050149,KAMILA,SILVERSMIDT,53,16,2019/05/01,1,1935,Kamila,Silversmidt,2019/05/01,Yes,No,Yes,Fail,Data
34,48,19050160,BERNADINE,SINKIN,60,17,2019/05/01,1,1941,Bernadine,Sinkin,2019/05/01,Yes,Yes,Yes,Pass,Data
35,49,19050162,WILLIAM,DRYDEN,63,23,2019/05/01,1,1942,William,Dryden,2019/05/01,Yes,Yes,Yes,Pass,Business
36,50,19050170,MATTHIAS,BURNS,53,22,2019/05/01,1,1946,Matthias,Burns,2019/05/01,Yes,Yes,Yes,Pass,Business
37,51,19050173,MAXWELL,WYER,50,21,2019/05/01,1,1948,Maxwell,Wyer,2019/05/01,Yes,Yes,Yes,Pass,Data
38,52,19050213,MIGUELA,QUANTRILL,60,21,2019/05/01,1,1973,Miguela,Quantrill,2019/05/01,No,Yes,Yes,Fail,Engineering
39,53,19050250,JULIET,SCOTTRELL,55,16,2019/05/01,1,1995,Juliet,Scottrell,2019/05/01,No,Yes,Yes,Fail,Business
40,55,19050263,SIOUXIE,TUNSTALL,57,23,2019/05/01,1,2005,Siouxie,Tunstall,2019/05/01,No,Yes,Yes,Fail,Engineering
41,56,19050269,KEENAN,STUBBES,50,21,2019/05/01,1,2009,Keenan,Stubbes,2019/05/01,Yes,No,Yes,Fail,Data
42,57,19050285,VERNEY,SKEHAN,58,15,2019/05/01,1,2024,Verney,Skehan,2019/05/01,No,Yes,Yes,Fail,Engineering
43,58,19050322,BERNICE,NIBLETT,52,16,2019/05/01,1,2047,Bernice,Niblett,2019/05/01,Yes,Yes,Yes,Pass,Engineering
44,59,19050356,SUSIE,CICCOLOI,65,21,2019/05/01,1,2071,Susie,Ciccoloi,2019/05/01,Yes,Yes,Yes,Pass,Data
45,60,19050373,CORNEY,KOLINSKY,50,23,2019/05/01,1,2084,Corney,Kolinsky,2019/05/01,No,No,Yes,Fail,Data
46,61,19050386,BENSON,SYNCKE,57,18,2019/05/01,1,2093,Benson,Syncke,2019/05/01,Yes,Yes,No,Fail,Data
47,62,19050387,HALSEY,BROADER,67,26,2019/05/01,1,2094,Halsey,Broader,2019/05/01,Yes,Yes,Yes,Pass,Data
48,64,19100067,CARMELLE,JADO,54,22,2019/10/01,1,2355,Carmelle,Jado,2019/10/01,Yes,Yes,Yes,Pass,Engineering
49,67,19100104,CLAUDIA,MAY,53,18,2019/10/01,1,2375,Claudia,May,2019/10/01,Yes,Yes,Yes,Pass,Business
50,68,19100147,GINEVRA,KOPS,52,21,2019/10/01,1,2408,Ginevra,Kops,2019/10/01,Yes,Yes,Yes,Pass,Engineering
51,69,19100148,LAMBERT,FORTNON,57,22,2019/10/01,1,2409,Lambert,Fortnon,2019/10/01,Yes,Yes,Yes,Pass,Business
52,70,19100174,FAR,LUBECK,52,18,2019/10/01,1,2427,Far,Lubeck,2019/10/01,Yes,No,Yes,Fail,Data
53,71,19100214,JOANN,ASPINWALL,59,15,2019/10/01,1,2456,Joann,Aspinwall,2019/10/01,Yes,Yes,Yes,Pass,Data
54,72,19100229,SALLYANN,JACOBI,60,15,2019/10/01,1,2467,Sallyann,Jacobi,2019/10/01,Yes,No,Yes,Fail,Business
55,73,19100245,AGUSTIN,BOOG,55,21,2019/10/01,1,2477,Agustin,Boog,2019/10/01,Yes,Yes,Yes,Pass,Engineering
56,74,19100248,FIANN,PARMETER,52,23,2019/10/01,1,2480,Fiann,Parmeter,2019/10/01,Yes,Yes,Yes,Pass,Data
57,75,19100252,LINETTE,GILHOOLIE,55,19,2019/10/01,1,2482,Linette,Gilhoolie,2019/10/01,Yes,Yes,Yes,Pass,Business
58,76,19100353,PEARLA,DURTNELL,55,21,2019/10/01,1,2546,Pearla,Durtnell,2019/10/01,Yes,No,Yes,Fail,Data
59,77,19100374,CANDIE,SENNER,59,24,2019/10/01,1,2559,Candie,Senner,2019/10/01,Yes,Yes,Yes,Pass,Data
60,80,19040018,TILER,ANDREJEVIC,55,21,2019/04/10,1,2858,Tiler,Andrejevic,2019/04/10,Yes,Yes,Yes,Pass,Data
61,82,19040058,MILE,O'BRIEN,50,24,2019/04/10,1,2883,Mile,O'Brien,2019/04/10,Yes,Yes,Yes,Pass,Engineering
62,83,19040068,SHEEREE,COLLOP,66,19,2019/04/10,1,2892,Sheeree,Collop,2019/04/10,Yes,Yes,Yes,Pass,Engineering
63,84,19040084,LIBBIE,PLUCK,51,19,2019/04/10,1,2902,Libbie,Pluck,2019/04/10,Yes,Yes,Yes,Fail,Data
64,86,19040116,LON,GILLIMGHAM,56,18,2019/04/10,1,2926,Lon,Gillimgham,2019/04/10,Yes,Yes,Yes,Pass,Data
65,87,19040137,HOGAN,BUSHNELL,65,22,2019/04/10,1,2943,Hogan,Bushnell,2019/04/10,Yes,Yes,Yes,Pass,Data
66,88,19040141,TIFFANY,GRONALLER,54,24,2019/04/10,1,2947,Tiffany,Gronaller,2019/04/10,Yes,Yes,Yes,Fail,Engineering
67,89,19040191,CHILTON,NIECE,62,22,2019/04/10,1,2980,Chilton,Niece,2019/04/10,Yes,Yes,Yes,Pass,Business
68,90,19040201,EDA,BANNER,72,20,2019/04/10,1,2986,Eda,Banner,2019/04/10,Yes,Yes,Yes,Pass,Engineering
69,92,19040224,ORALLE,KOSE,50,22,2019/04/10,1,3001,Oralle,Kose,2019/04/10,No,Yes,Yes,Fail,Data
70,93,19040237,VERNOR,FARRANCE,55,22,2019/04/10,1,3012,Vernor,Farrance,2019/04/10,No,Yes,Yes,Fail,Business
71,94,19040245,SALVIDOR,CULLY,53,18,2019/04/10,1,3019,Salvidor,Cully,2019/04/10,Yes,Yes,Yes,Pass,Business
72,96,19040261,TODD,KOHNERT,58,24,2019/04/10,1,3025,Todd,Kohnert,2019/04/10,Yes,Yes,Yes,Pass,Data
73,97,19040262,GUNTER,MARZELLANO,63,23,2019/04/10,1,3026,Gunter,Marzellano,2019/04/10,Yes,No,Yes,Fail,Business
74,98,19040265,ENRIQUE,GARSIDE,57,19,2019/04/10,1,3028,Enrique,Garside,2019/04/10,Yes,Yes,Yes,Fail,Engineering
75,99,19040268,HILDA,WINKETT,69,25,2019/04/10,1,3030,Hilda,Winkett,2019/04/10,Yes,No,Yes,Fail,Data
76,100,19040302,GILES,DEANGELIS,52,23,2019/04/10,1,3055,Giles,DeAngelis,2019/04/10,Yes,Yes,Yes,Pass,Engineering
77,102,19040304,DAVEY,MCDOWELL,52,24,2019/04/10,1,3056,Davey,Mcdowell,2019/04/10,Yes,Yes,No,Fail,Data
78,103,19040321,MICKEY,LAMPORT,56,18,2019/04/10,1,3066,Mickey,Lamport,2019/04/10,Yes,Yes,Yes,Pass,Data
79,104,19040324,MYRNA,BONAFANT,51,23,2019/04/10,1,3069,Myrna,Bonafant,2019/04/10,Yes,Yes,No,Fail,Data
80,106,19040340,LUKE,ABLE,51,22,2019/04/10,1,3078,Luke,Able,2019/04/10,Yes,Yes,No,Fail,Business
81,107,19040373,PHILLIS,LYFIELD,55,23,2019/04/10,1,3101,Phillis,Lyfield,2019/04/10,Yes,Yes,Yes,Pass,Engineering
82,108,19120001,CANDY,BERENDS,66,15,2019/12/10,1,924,Candy,Berends,2019/12/10,Yes,Yes,Yes,Pass,Business
83,109,19120006,ADOLPHO,LITTERICK,63,17,2019/12/10,1,928,Adolpho,Litterick,2019/12/10,Yes,Yes,No,Fail,Engineering
84,110,19120007,ROCKEY,COURTES,53,21,2019/12/10,1,929,Rockey,Courtes,2019/12/10,Yes,No,No,Fail,Business
85,111,19120036,SALMON,GLENFIELD,52,21,2019/12/10,1,948,Salmon,Glenfield,2019/12/10,Yes,Yes,No,Fail,Business
86,112,19120069,JENA,LIVINGS,62,21,2019/12/10,1,969,Jena,Livings,2019/12/10,Yes,Yes,No,Fail,Business
87,113,19120070,KAITLYN,CHAGG,53,18,2019/12/10,1,970,Kaitlyn,Chagg,2019/12/10,Yes,Yes,Yes,Pass,Data
88,114,19120085,STEFFANE,LAITY,62,25,2019/12/10,1,978,Steffane,Laity,2019/12/10,Yes,Yes,Yes,Pass,Data
89,115,19120090,HARRIE,CHATIN,69,22,2019/12/10,1,981,Harrie,Chatin,2019/12/10,Yes,Yes,Yes,Pass,Business
90,116,19120101,BAMBI,EARTHFIELD,60,20,2019/12/10,1,988,Bambi,Earthfield,2019/12/10,Yes,Yes,Yes,Pass,Business
91,117,19120146,ULBERTO,STROTON,59,22,2019/12/10,1,1020,Ulberto,Stroton,2019/12/10,Yes,Yes,Yes,Pass,Data
92,118,19120160,REINOLD,JENICEK,51,20,2019/12/10,1,1027,Reinold,Jenicek,2019/12/10,Yes,Yes,Yes,Fail,Business
93,119,19120167,GUIDO,ALLANS,57,16,2019/12/10,1,1033,Guido,Allans,2019/12/10,Yes,Yes,Yes,Pass,Engineering
94,120,19120175,ORELLA,GOSHAWKE,55,17,2019/12/10,1,1038,Orella,Goshawke,2019/12/10,Yes,Yes,Yes,Pass,Business
95,121,19120196,FELITA,JZHAKOV,59,22,2019/12/10,1,1049,Felita,Jzhakov,2019/12/10,Yes,Yes,Yes,Pass,Business
96,122,19120215,FILIDE,ROONY,60,22,2019/12/10,1,1062,Filide,Roony,2019/12/10,Yes,Yes,Yes,Pass,Data
97,123,19120217,CHARLEY,FREDI,55,20,2019/12/10,1,1064,Charley,Fredi,2019/12/10,Yes,Yes,Yes,Pass,Data
98,124,19120237,MELLY,IBLE,52,21,2019/12/10,1,1074,Melly,Ible,2019/12/10,Yes,Yes,Yes,Pass,Engineering
99,125,19120252,WALLIE,CHITTENDEN,57,22,2019/12/10,1,1081,Wallie,Chittenden,2019/12/10,Yes,Yes,Yes,Pass,Engineering
100,126,19120257,SCOTTI,BROMFIELD,50,21,2019/12/10,1,1085,Scotti,Bromfield,2019/12/10,Yes,Yes,Yes,Pass,Data
