,Name,Psychometrics,Presentation,Date,Location
0,HILARY WILLMORE,51/100,19/32,2019/08/01,Birmingham Academy
1,ORLY LORENS,51/100,19/32,2019/08/01,Birmingham Academy
2,ALVIE BLEACKLY,55/100,16/32,2019/08/01,Birmingham Academy
3,DECK ITZCHAKI,59/100,21/32,2019/08/01,Birmingham Academy
4,WILT PENRITT,66/100,25/32,2019/08/01,Birmingham Academy
5,GIANNA CLEVELY,61/100,16/32,2019/08/01,Birmingham Academy
6,YVOR PHALIP,59/100,18/32,2019/08/01,Birmingham Academy
7,MARIELLE KNIVETT,52/100,18/32,2019/08/01,Birmingham Academy
8,FLORRI LOUGHTON,63/100,28/32,2019/08/01,Birmingham Academy
9,WALDEN GIDDEN,49/100,25/32,2019/08/01,Birmingham Academy
10,INGUNNA ADIN,60/100,20/32,2019/08/01,Birmingham Academy
11,JANAYA MAWFORD,52/100,18/32,2019/08/01,Birmingham Academy
12,CORNALL OFFER,56/100,26/32,2019/08/01,Birmingham Academy
13,BRNABY BOWNES,59/100,26/32,2019/08/01,Birmingham Academy
14,SHERLINE CUDIHY,52/100,16/32,2019/08/01,Birmingham Academy
15,ANALLISE SCATHARD,62/100,13/32,2019/08/01,Birmingham Academy
16,BENSON LABUSCHAGNE,64/100,13/32,2019/08/01,Birmingham Academy
17,NORENE FIERRO,58/100,22/32,2019/08/01,Birmingham Academy
18,WOODY NEWLING,49/100,21/32,2019/08/01,Birmingham Academy
19,ANNA BOWNES,45/100,20/32,2019/08/01,Birmingham Academy
20,LORINE BIGNALL,59/100,17/32,2019/08/01,Birmingham Academy
21,DEIRDRE VAN DEN VELDE,55/100,19/32,2019/08/01,Birmingham Academy
22,RUTHE ADOLTHINE,63/100,17/32,2019/08/01,Birmingham Academy
23,STAR JURGES,54/100,22/32,2019/08/01,Birmingham Academy
24,STAN FORKAN,56/100,20/32,2019/08/01,Birmingham Academy
25,JODIE KAYGILL,53/100,17/32,2019/08/01,Birmingham Academy
26,TIM HUSH,40/100,22/32,2019/08/01,Birmingham Academy
27,DELINDA CONYBEAR,54/100,18/32,2019/08/01,Birmingham Academy
28,REAGEN PUDGE,60/100,14/32,2019/08/01,Birmingham Academy
29,MATTEO YEOWELL,57/100,18/32,2019/08/01,Birmingham Academy
30,MAYE TARGETTER,45/100,19/32,2019/08/01,Birmingham Academy
31,CARLOS GERCKENS,56/100,19/32,2019/08/01,Birmingham Academy
32,NEVIL VIDYAPIN,44/100,22/32,2019/08/01,Birmingham Academy
33,BLAKE NUNSON,64/100,18/32,2019/08/01,Birmingham Academy
34,ROSS BEEVORS,48/100,25/32,2019/08/01,Birmingham Academy
35,SID LIBBIE,59/100,28/32,2019/08/01,Birmingham Academy
0,LOREE HINKENS,54/100,16/32,2019/05/01,London Academy
1,MICHEIL ROTLAUF,66/100,15/32,2019/05/01,London Academy
2,BERKELEY BOTHE,43/100,25/32,2019/05/01,London Academy
3,KLARIKA MCCONIGAL,48/100,22/32,2019/05/01,London Academy
4,RETHA DUNNICO,60/100,20/32,2019/05/01,London Academy
5,NANCE TOTHE,51/100,15/32,2019/05/01,London Academy
6,DONICA ANDREAS,59/100,18/32,2019/05/01,London Academy
7,STAVROS PETTICROW,52/100,12/32,2019/05/01,London Academy
8,JANET MULQUEENY,42/100,19/32,2019/05/01,London Academy
9,CASSIUS HOLLIBONE,69/100,18/32,2019/05/01,London Academy
