,applicant_id,first_name,last_names,date,self_development,geo_flex,financial_support_self,result,course_interest
0,19080000,Stillmann,Castano,2019/08/22,Yes,Yes,Yes,Pass,Business
1,19080001,Hilary,Willmore,2019/08/01,No,Yes,Yes,Fail,Data
2,19080002,Efrem,Whipple,2019/08/22,Yes,Yes,Yes,Pass,Business
3,19080003,Sydel,Fenne,2019/08/28,Yes,Yes,Yes,Pass,Data
4,19080007,Michel,Lebarree,2019/08/07,Yes,Yes,Yes,Pass,Engineering
5,19080008,Cooper,Ingraham,2019/08/14,Yes,Yes,No,Fail,Business
6,19080009,Bird,LeCount,2019/08/22,Yes,Yes,Yes,Fail,Business
7,19080010,Orly,Lorens,2019/08/01,No,Yes,Yes,Fail,Business
8,19080011,Hannah,Messum,2019/08/29,Yes,Yes,Yes,Fail,Data
9,19080013,Gavin,Lambregts,2019/08/21,Yes,Yes,Yes,Pass,Data
10,19080014,Letta,Halston,2019/08/08,Yes,Yes,Yes,Fail,Business
11,19080016,Rivalee,Eagleton,2019/08/08,Yes,Yes,No,Fail,Engineering
12,19080017,Neda,Marmyon,2019/08/15,Yes,Yes,Yes,Pass,Data
13,19080018,Kermy,Caves,2019/08/29,Yes,No,Yes,Fail,Business
14,19080021,Edithe,Dimitrov,2019/08/07,Yes,Yes,Yes,Pass,Engineering
15,19080023,Aubert,Cicerone,2019/08/06,Yes,Yes,No,Fail,Data
16,19080025,Erastus,Mcelrath,2019/08/14,Yes,No,No,Fail,Data
17,19080027,Edgar,Annesley,2019/08/28,No,Yes,Yes,Fail,Data
18,19080028,Haslett,Steet,2019/08/07,Yes,Yes,Yes,Pass,Engineering
19,19080030,Kirbee,Clementet,2019/08/08,Yes,Yes,No,Fail,Engineering
20,19080031,Marcellina,Ping,2019/08/21,Yes,Yes,Yes,Pass,Business
21,19080032,Violet,Luscombe,2019/08/14,Yes,Yes,Yes,Pass,Data
22,19080035,Phillis,Wabey,2019/08/06,Yes,Yes,Yes,Pass,Data
23,19080036,Maurice,Yakhin,2019/08/29,Yes,Yes,Yes,Pass,Engineering
24,19080038,Wesley,Tolerton,2019/08/13,No,Yes,Yes,Fail,Business
25,19080039,Brittaney,Roughey,2019/08/15,Yes,Yes,Yes,Pass,Engineering
26,19080041,Saree,Daens,2019/08/15,Yes,Yes,Yes,Pass,Engineering
27,19080043,Mona,Willimott,2019/08/08,Yes,Yes,Yes,Pass,Engineering
28,19080044,Alvie,Bleackly,2019/08/01,Yes,Yes,Yes,Pass,Engineering
29,19080045,Drud,Tellenbrok,2019/08/06,Yes,Yes,Yes,Pass,Data
30,19080046,Deck,Itzchaki,2019/08/01,Yes,Yes,Yes,Pass,Business
31,19080047,Charlie,Danelut,2019/08/14,Yes,No,Yes,Fail,Data
32,19080049,Wilt,Penritt,2019/08/01,No,Yes,Yes,Fail,Data
33,19080050,Stevie,Houliston,2019/08/15,Yes,Yes,Yes,Pass,Engineering
34,19080051,Fairlie,Cogzell,2019/08/14,Yes,Yes,Yes,Pass,Business
35,19080052,Beckie,Aveling,2019/08/22,Yes,Yes,Yes,Fail,Business
36,19080053,Axe,Mckall,2019/08/15,Yes,Yes,Yes,Pass,Business
37,19080054,Marcela,Pass,2019/08/27,Yes,No,Yes,Fail,Business
38,19080057,Sauncho,Aveson,2019/08/13,Yes,Yes,Yes,Pass,Data
39,19080058,Shamus,Mccomish,2019/08/15,No,Yes,Yes,Fail,Engineering
40,19080059,Andy,Lown,2019/08/22,Yes,Yes,Yes,Pass,Business
41,19080060,Arny,Coorington,2019/08/14,Yes,Yes,Yes,Pass,Engineering
